7.87     8.68    11.91    28.11    31.18    29.66    25.99    79.86    23.59    21.92    49.81    63.34   110.21    77.81   45.37     69
4.22     7.31     6.72     7.83    10.12     7.61    16.96    11.02    15.8     18.56    38.57    36.36    32.14    35.5    30.03     40.1
2.49     6.02     3.84     5.35     8.06     6.35     5.01     7.22    11.82    11.42     9.68    13.32    18.88    24.79   22.98     36.92
0.94     2.64     2.81     3.3      3.79     4.1      4.74     6.38    11.14     8.27     9.52    11.37    16.39    20.02   20.62     32.2
0.89     1.75     2.73     2.94     3.46     3.8      3.57     5.09     7.84     7.28     8.08    10.9     13.37    16.7    17.25     24.11
0.87     1.72     2.68     2.54     2.91     2.75     3.34     4.88     5.9      7.02     8.03    10.84    11.95     9.39   16.11     21.46
0.81     1.51     2.65     2.46     2.71     2.7      3.12     4.3      4.54     6.94     6.99    10.7     10.7      9.38   11.49     21.21
0.78     1.42     2.49     2.33     2.17     2.69     2.64     3.3      4.44     6.53     5.02    10.27     7.89     8.76    9.47     16.5
0.71     1.31     1.71     2.03     2.06     2.51     2.14     3.1      3.61     5.84     4.95     9.5      7.71     7.63    9.07     15
0.69     1.29     1.69     1.99     1.86     2.44     1.69     2.99     3.36     5.66     2.78     9.17     7.04     7.5     7.21     11.13
